type,name,label,required,choice_filter,calculation,relevant,repeat_count,constraint,constraint_message,hint,default,appearance
text,q5276_otherSourceDAP,Other source of purchase of DAP,yes,,,"selected(${q5275_sourceDAP},'Other')",,,,,,
select_one fertSource,q5277_sourceNPK,Source of purchase of NPK product,yes,,,"selected(${basalFerts},'NPK') or selected(${firstTopDressFert},'NPK') or selected(${secondTopDressFert},'NPK') or selected(${thirdTopDressFert},'NPK')",,,,,,minimal
text,q5278_otherSourceNPK,Other source of purchase of NPK product,yes,,,"selected(${q5277_sourceNPK},'Other')",,,,,,
select_one fertSource,q5279_sourceUrea,Source of purchase of Urea,yes,,,"selected(${basalFerts},'Urea') or selected(${firstTopDressFert},'Urea') or selected(${secondTopDressFert},'Urea') or selected(${thirdTopDressFert},'Urea')",,,,,,minimal
text,q5280_otherSourceUrea,Other source of purchase of Urea,yes,,,"selected(${q5279_sourceUrea},'Other')",,,,,,
select_one fertSource,q5281_sourceZnSO4,Source of purchase of ZnSO4,yes,,,"selected(${basalFerts},'ZnSO4') or selected(${firstTopDressFert},'ZnSO4') or selected(${secondTopDressFert},'ZnSO4') or selected(${thirdTopDressFert},'ZnSO4') and (not(selected(${q101_country},'India')))",,,,,,minimal
text,q5282_otherSourceZnSO4,Other source of purchase of ZnSO4,yes,,,"selected(${q5281_sourceZnSO4},'Other')",,,,,,
select_one fertSource,q5283_sourceGypsum,Source of purchase of Gypsum,yes,,,"selected(${basalFerts},'Gypsum') or selected(${firstTopDressFert},'Gypsum') or selected(${secondTopDressFert},'Gypsum') or selected(${thirdTopDressFert},'Gypsum') and (not(selected(${q101_country},'India')))",,,,,,minimal
text,q5284_otherSourceGypsum,Other source of purchase of Gypsum,yes,,,"selected(${q5283_sourceGypsum},'Other')",,,,,,
select_one fertSource,q5285_sourceBoron,Source of purchase of Boron,yes,,,"selected(${basalFerts},'Boron') or selected(${firstTopDressFert},'Boron') or selected(${secondTopDressFert},'Boron') or selected(${thirdTopDressFert},'Boron') and (not(selected(${q101_country},'India')))",,,,,,minimal
text,q5286_otherSourceBoron,Other source of purchase of Boron,yes,,,"selected(${q5285_sourceBoron},'Other')",,,,,,
,,,,,,,,,,,,
select_one yesno,q5287_fertOnTime,Is fertilizer / micronutrients generally available on time?,yes,,,"selected(${q5104_applyMineralFert},'yes')",,,,,,quick
select_one weeks,q5288_avgDelayWeeks,"If ‘no’, average delay in fertilizer availability in weeks (single select)",yes,,,"selected(${q5287_fertOnTime},'no')",,,,,,minimal
end group,,,,,,,,,,,,
,,,,,,,,,,,,
begin group,G,Irrigation management in ${q305_cropLargestArea}__${q301_LLU}  for ${q116_crop},yes,,,"selected(${surveyConsent},'yes') and not(selected(${q116_crop},'Fallow'))",,,,,,
select_one yesno,q5301_irrigAvail,Is irrigation available for ${q305_cropLargestArea}__${q301_LLU} plot for ${q116_crop}?,yes,,,,,,,,,quick
select_multiple irrigSource,q5302_irrigSource,Source of irrigation for ${q305_cropLargestArea}__${q301_LLU} plot for ${q116_crop} (multiple select),yes,,,"selected(${q5301_irrigAvail},'yes')",,,,,,minimal
text,q5303_irrigOtherSource,Other source of irrigation for ${q305_cropLargestArea}__${q301_LLU} plot for ${q116_crop},yes,,,"selected(${q5302_irrigSource},'Other')",,,,,,
